origen,id_origen,cantidad_original,cantidad_redondeada,producto
kardex,3327,19.839,20,
kardex,3328,25.285,25,
kardex,3329,31.120,31,
kardex,3330,17.894,18,
kardex,3331,28.397,28,
kardex,3332,12.837,13,
kardex,3333,14.393,14,
kardex,3334,23.340,23,
kardex,3335,15.949,16,
kardex,3336,18.672,19,
kardex,3337,14.004,14,
kardex,3338,11.670,12,
kardex,3339,15.560,16,
kardex,3340,19.839,20,
kardex,3359,14.004,14,
kardex,3360,19.839,20,
kardex,3361,14.393,14,
kardex,3362,13.226,13,
kardex,3363,27.619,28,
kardex,3364,11.670,12,
kardex,3365,20.228,20,
kardex,3366,18.672,19,
kardex,3367,14.393,14,
kardex,3368,14.004,14,
kardex,3369,21.395,21,
kardex,3370,22.951,23,
kardex,3371,12.059,12,
kardex,3372,24.118,24,
kardex,3373,19.061,19,
kardex,3374,23.340,23,
kardex,3375,20.228,20,
kardex,3376,14.393,14,
kardex,3377,20.228,20,
kardex,3378,28.786,29,
kardex,3379,22.951,23,
kardex,3380,18.672,19,
kardex,3381,17.505,18,
kardex,3382,14.782,15,
kardex,3383,15.560,16,
kardex,3384,12.837,13,
kardex,3385,26.841,27,
kardex,3386,19.061,19,
kardex,3387,28.397,28,
kardex,3388,26.063,26,
kardex,3389,15.560,16,
kardex,3390,15.560,16,
kardex,3391,29.564,30,
kardex,3392,17.894,18,
kardex,3393,26.841,27,
kardex,3394,14.393,14,
kardex,3395,16.338,16,
kardex,3396,13.615,14,
kardex,3397,27.619,28,
kardex,3398,22.173,22,
kardex,3399,17.505,18,
kardex,3400,19.450,19,
kardex,3401,21.395,21,
kardex,3402,26.452,26,
kardex,3403,13.226,13,
kardex,3404,26.452,26,
kardex,3405,14.004,14,
kardex,3406,18.672,19,
kardex,3407,19.839,20,
kardex,3408,13.226,13,
kardex,3409,15.560,16,
kardex,3410,15.949,16,
kardex,3411,19.839,20,
kardex,3412,20.617,21,
kardex,3413,19.400,19,
kardex,3414,15.560,16,
kardex,3415,23.729,24,
kardex,3416,12.059,12,
kardex,3417,17.894,18,
kardex,3418,27.230,27,
kardex,3419,26.452,26,
kardex,3420,31.898,32,
kardex,3421,15.949,16,
kardex,4872,26.196,26,
kardex,4873,41.064,41,
kardex,4874,46.020,46,
kardex,4875,29.028,29,
kardex,4876,27.612,28,
kardex,4877,38.232,38,
kardex,4878,17.700,18,
kardex,4879,35.400,35,
kardex,4880,23.364,23,
kardex,4881,33.984,34,
kardex,4882,22.656,23,
kardex,4883,14.160,14,
kardex,4884,27.612,28,
kardex,4885,28.320,28,
kardex,4886,14.160,14,
kardex,4887,28.320,28,
kardex,4888,24.780,25,
kardex,4889,33.984,34,
kardex,4890,22.656,23,
kardex,4891,41.772,42,
kardex,4892,36.816,37,
kardex,4893,32.568,33,
kardex,4894,21.240,21,
kardex,4895,22.656,23,
kardex,4896,17.700,18,
kardex,4897,37.524,38,
kardex,4898,25.488,25,
kardex,4899,21.948,22,
kardex,4900,16.992,17,
kardex,4901,29.028,29,
kardex,4902,33.276,33,
kardex,4903,36.816,37,
kardex,4904,25.488,25,
kardex,4905,27.612,28,
kardex,4906,48.850,49,
kardex,4907,28.320,28,
kardex,4908,24.780,25,
kardex,4909,23.364,23,
kardex,4910,26.196,26,
kardex,4911,26.196,26,
kardex,4912,35.400,35,
kardex,4913,34.692,35,
kardex,4914,43.188,43,
kardex,4915,42.480,42,
kardex,4916,26.904,27,
kardex,4917,28.320,28,
kardex,4918,46.020,46,
kardex,4919,24.780,25,
kardex,4920,47.436,47,
kardex,4921,16.992,17,
kardex,4922,24.072,24,
kardex,4923,26.904,27,
kardex,4924,44.604,45,
kardex,4925,38.940,39,
kardex,4926,31.860,32,
kardex,4927,35.400,35,
kardex,4928,31.860,32,
kardex,4929,46.020,46,
kardex,4930,26.196,26,
kardex,4931,42.480,42,
kardex,4932,14.160,14,
kardex,4933,23.364,23,
kardex,4934,25.488,25,
kardex,4935,24.780,25,
kardex,4936,18.408,18,
kardex,4937,36.108,36,
kardex,4938,24.780,25,
kardex,4939,28.320,28,
kardex,4940,28.320,28,
kardex,4941,36.108,36,
kardex,4942,36.108,36,
kardex,4943,22.656,23,
kardex,4944,43.188,43,
kardex,4945,26.196,26,
kardex,4946,32.568,33,
kardex,4947,29.028,29,
kardex,4948,26.904,27,
kardex,4949,19.824,20,
kardex,4950,37.524,38,
kardex,4951,44.604,45,
kardex,4952,58.056,58,
kardex,4953,29.028,29,
kardex,5568,19.980,20,
kardex,5569,31.320,31,
kardex,5570,35.100,35,
kardex,5571,22.140,22,
kardex,5572,21.060,21,
kardex,5573,29.160,29,
kardex,5574,13.500,14,
kardex,5576,17.820,18,
kardex,5577,25.920,26,
kardex,5578,17.280,17,
kardex,5579,10.800,11,
kardex,5580,21.060,21,
kardex,5581,21.600,22,
kardex,5582,10.800,11,
kardex,5583,21.600,22,
kardex,5584,18.900,19,
kardex,5585,25.920,26,
kardex,5586,17.280,17,
kardex,5587,31.860,32,
kardex,5588,28.080,28,
kardex,5589,24.840,25,
kardex,5590,16.200,16,
kardex,5591,17.280,17,
kardex,5592,13.500,14,
kardex,5593,28.620,29,
kardex,5594,19.440,19,
kardex,5595,16.740,17,
kardex,5596,12.960,13,
kardex,5597,22.140,22,
kardex,5598,25.380,25,
kardex,5599,28.080,28,
kardex,5600,19.440,19,
kardex,5601,21.060,21,
kardex,5602,37.260,37,
kardex,5603,21.600,22,
kardex,5604,18.900,19,
kardex,5605,17.820,18,
kardex,5606,19.980,20,
kardex,5607,19.980,20,
kardex,5609,26.460,26,
kardex,5610,32.940,33,
kardex,5611,32.400,32,
kardex,5612,20.520,21,
kardex,5613,21.600,22,
kardex,5614,35.100,35,
kardex,5615,18.900,19,
kardex,5616,36.180,36,
kardex,5617,12.960,13,
kardex,5618,18.360,18,
kardex,5619,20.520,21,
kardex,5620,34.020,34,
kardex,5621,29.700,30,
kardex,5622,24.300,24,
kardex,5624,24.300,24,
kardex,5625,35.100,35,
kardex,5626,19.980,20,
kardex,5627,32.400,32,
kardex,5628,10.800,11,
kardex,5629,17.820,18,
kardex,5630,19.440,19,
kardex,5631,18.900,19,
kardex,5632,14.040,14,
kardex,5633,27.540,28,
kardex,5634,18.900,19,
kardex,5635,21.600,22,
kardex,5636,21.600,22,
kardex,5637,27.540,28,
kardex,5638,27.540,28,
kardex,5639,17.280,17,
kardex,5640,32.940,33,
kardex,5641,19.980,20,
kardex,5642,24.840,25,
kardex,5643,22.140,22,
kardex,5644,20.520,21,
kardex,5645,15.120,15,
kardex,5646,28.620,29,
kardex,5647,34.020,34,
kardex,5648,44.280,44,
kardex,5649,22.140,22,
kardex,6426,53.136,53,
kardex,6427,58.320,58,
kardex,6428,67.392,67,
kardex,6429,64.800,65,
kardex,6430,54.432,54,
kardex,6431,69.984,70,
kardex,6432,32.400,32,
kardex,6433,51.840,52,
kardex,6434,38.880,39,
kardex,6435,62.208,62,
kardex,6436,34.992,35,
kardex,6437,38.880,39,
kardex,6438,50.544,51,
kardex,6439,29.808,30,
kardex,6440,25.920,26,
kardex,6441,36.288,36,
kardex,6442,45.360,45,
kardex,6443,62.208,62,
kardex,6444,38.880,39,
kardex,6445,64.800,65,
kardex,6446,55.728,56,
kardex,6447,54.432,54,
kardex,6448,36.288,36,
kardex,6449,38.880,39,
kardex,6450,60.912,61,
kardex,6451,46.656,47,
kardex,6452,32.400,32,
kardex,6453,47.952,48,
